timestamp,px,py,pz,qw,qx,qy,qz
0.0,0.050095857525147926,-0.0005810498565984474,1.5,1.0,0.0,0.0,0.0
0.05,0.09997933629504932,-0.0004674673544733261,1.5010471954245672,0.999999994517087,0.0,0.0,0.0001047178405882991
0.1,0.15004439563425956,0.00021501649817048636,1.5020943780893885,0.9999999780707531,0.0,0.0,0.00020942419424105463
0.15,0.20081984792833202,0.0008601150274462322,1.5031415352348738,0.9999999506682142,0.0,0.0,0.0003141075752857946
0.2,0.2521369164110664,0.0017864369616320786,1.5041886541017435,0.9999999123214928,0.0,0.0,0.0004187565005760481
0.25,0.3013537670750095,0.004082334458755858,1.5052357219311852,0.9999998630474124,0.0,0.0,0.000523359490753992
0.3,0.35067916018795153,0.004438368706012828,1.5062827259650071,0.9999998028675912,0.0,0.0,0.0006279050715126701
0.35,0.4007546703981138,0.005712008222753058,1.5073296534457958,0.9999997318084319,0.0,0.0,0.0007323817748576476
0.4,0.44992414629004623,0.00711674795509535,1.5083764916170708,0.9999996499011106,0.0,0.0,0.0008367781403679546
0.45,0.5003631204784296,0.010264087450949207,1.5094232277234385,0.9999995571815623,0.0,0.0,0.0009410827164561804
0.5,0.550281617754108,0.013604785371622179,1.5104698490107502,0.999999453690466,0.0,0.0,0.0010452840616275742
0.55,0.6004893103222841,0.019015923452463314,1.511516342726256,0.9999993394732263,0.0,0.0,0.0011493707457380141
0.6,0.6508758249551543,0.024839881613522786,1.51256269611876,0.9999992145799534,0.0,0.0,0.0012533313512507014
0.65,0.7015904220001807,0.02998291644086451,1.5136088964387762,0.9999990790654422,0.0,0.0,0.0013571544744914368
0.7,0.7503957758887764,0.03379321524977164,1.514654930938684,0.999998932989146,0.0,0.0,0.0014608287269023456
0.75,0.8001189195834647,0.03916241761742564,1.5157007868728831,0.9999987764151531,0.0,0.0,0.0015643427362938991
0.8,0.8514757485032104,0.043080014578533596,1.5167464514979492,0.9999986094121565,0.0,0.0,0.001667685148095104
0.85,0.9024291780289105,0.04809965081922857,1.5177919120727885,0.999998432053425,0.0,0.0,0.001770844626601712
0.9,0.9521378314246932,0.0537343606084483,1.518837155858794,0.9999982444167704,0.0,0.0,0.0018738098562223117
0.95,1.0017604365057822,0.06077512056484415,1.51988217012,0.9999980465845135,0.0,0.0,0.0019765695427221646
1.0,1.0516384780452013,0.0693007309432012,1.5209269421232376,0.9999978386434484,0.0,0.0,0.002079112414464642
1.05,1.1013310568628074,0.07680223724976697,1.5219714591382896,0.9999976206848035,0.0,0.0,0.002181427223650133
1.1,1.1510796801515526,0.08344421627144491,1.5230157084380456,0.9999973928042023,0.0,0.0,0.002283502747552268
1.15,1.2007589359391124,0.09152676164107348,1.5240596772986577,0.9999971551016208,0.0,0.0,0.0023853277897513403
1.2,1.2500671296046997,0.10047772232968727,1.5251033529996947,0.9999969076813447,0.0,0.0,0.0024868911813647736
1.25,1.3004749940681202,0.10989406163977351,1.5261467228242975,0.9999966506519218,0.0,0.0,0.0025881817822744945
