timestamp,feature_count,feature_tracking_ratio,reprojection_error_mean,reprojection_error_std,imu_residual_norm,optimization_iterations,tracking_time_ms,tracking_state,camera_motion_magnitude,tracking_length
0.0,150,0.9938945614134903,0.425970747546638,0.10820094990551564,0.05587060568946674,5,16.034230767627136,1,0.06690086543008868,0.05
0.05,138,0.9921952515406665,0.3513124478226065,0.13367038894914288,0.057702048259878715,8,15.007108235694137,1,0.05121449451647341,0.1
0.1,155,0.9788589969077717,0.36506499791809593,0.1744559921095333,0.06471771846555933,7,15.148496058257335,1,0.07669353666417895,0.15000000000000002
0.15,144,0.8646804929326447,0.33750354826126,0.14128910491933677,0.05388417653371701,5,15.88674401082924,1,0.05404337694249749,0.2
0.2,149,1.0,0.4501443310862386,0.15084136996012454,0.05547350126873676,6,17.680517500743132,1,0.06819671028174791,0.25
0.25,161,1.0,0.35312889608180903,0.1609161482066893,0.06238816767828122,2,18.07437318633184,1,0.05400075468160735,0.3
0.3,142,0.9572855664373572,0.3550699783026844,0.13575367064086513,0.05336788679543346,3,16.301929908145496,1,0.05814350867056166,0.35
0.35,150,0.9111072411957112,0.40696819770266746,0.18278943917604348,0.09045870941731819,6,18.462522004994018,1,0.051729216498134487,0.39999999999999997
0.4,141,0.8985802708235572,0.31911837610814175,0.18005710367974562,0.06722246038192582,5,15.778524884613887,1,0.06970234548825832,0.44999999999999996
0.45,148,0.8708946365964361,0.3280988416431885,0.11535005532562496,0.05020345623955918,4,15.077465056047181,1,0.05477133843205012,0.49999999999999994
0.5,152,0.9335462905500168,0.45032460898649596,0.20713709534783187,0.06515737258492575,4,16.299979082628703,1,0.06050785590111059,0.5499999999999999
0.55,140,1.0,0.3212347744692524,0.16099638999752602,0.05004039047941652,5,16.759180998260273,1,0.05368150573719416,0.6
0.6,146,0.8867773775416599,0.3423472724741462,0.12201805167246087,0.057123430598504187,3,15.0648650186925,1,0.06470799514109545,0.65
0.65,147,0.940869950496966,0.3411540904459647,0.11816814090071817,0.06193977561326618,3,15.240042979696959,1,0.07745299921936784,0.7000000000000001
0.7,143,0.9881379657767333,0.33031948672837574,0.13560279382249435,0.07327906372344453,6,17.59904439411091,1,0.06348026738211635,0.7500000000000001
0.75,138,1.0,0.36305351366765704,0.14093113804000165,0.05997356326429575,1,16.984550793998746,1,0.07652084898557848,0.8000000000000002
0.8,135,0.9654906437030504,0.34194785238517567,0.12720139978758685,0.05505796303017637,6,17.83317468743556,1,0.07435604192435291,0.8500000000000002
0.85,148,0.9127312512710979,0.3505952083259973,0.13895101511337993,0.06873687042398044,4,15.643574449342804,1,0.055968705674802846,0.9000000000000002
0.9,147,1.0,0.35219083167916143,0.18207956885963855,0.07041899144089528,6,16.75388733592181,1,0.06350619299295283,0.9500000000000003
0.95,172,0.9797594515371869,0.35580314431194393,0.1095793444840346,0.09673746747463727,6,16.89066475423894,1,0.07505172667659764,1.0000000000000002
1.0,125,0.978802764088575,0.41866624855845513,0.10573025573698963,0.0750540822017906,8,17.99274027819896,1,0.05735519692124974,1.0500000000000003
1.05,151,0.9992075323754306,0.3233835084668141,0.14399028806301148,0.06524377823619396,1,18.124553746025637,1,0.05634757732207235,1.1000000000000003
1.1,153,0.9155177922022975,0.4362462981134784,0.18305796156626752,0.08863643990987473,7,17.105458586129533,1,0.07159051807608958,1.1500000000000004
1.15,163,0.8946372575376916,0.31788183669070325,0.12226719869382002,0.0702502660958576,4,17.424180124472038,1,0.05503790484191647,1.2000000000000004
1.2,155,0.8974519896054048,0.41063419342696306,0.10576971508889443,0.07420014228040138,9,16.873561906120916,1,0.05561001131771409,1.2500000000000004
1.25,141,1.0,0.4581591875301718,0.12446317560105721,0.05877705365036012,3,15.313590969212042,1,0.059410459288593835,1.3000000000000005
1.3,150,0.9731285938811601,0.4573681685823321,0.21039272033146933,0.06949201242363169,4,18.33065489579121,1,0.059335649484527804,1.3500000000000005
1.35,155,0.8826253515173595,0.31028648906174117,0.13897066792011364,0.052586503496626406,4,15.146577992771892,1,0.05817992855747648,1.4000000000000006
1.4,146,0.8919989478855533,0.5176695797159465,0.13186623863086477,0.056024718601311904,3,15.063201641887705,1,0.06602900893683232,1.4500000000000006
1.45,157,0.952299585741413,0.3496928272320273,0.14643314569148522,0.05455789470630957,2,15.907386444057636,1,0.05820430951104035,1.5000000000000007
1.5,131,0.8858650233478134,0.36977618979791266,0.12765096106498744,0.06956537830275988,4,15.787493064756722,1,0.058996857371745565,1.5500000000000007
